0;1;10;0.000084
0;1;20;0.000654
0;1;50;0.010139
0;1;100;0.083209
0;1;200;1.072283
1;1;10;0.000230
1;1;20;0.000972
1;1;50;0.011517
1;1;100;0.088990
1;1;200;0.907616
0;8;10;0.000085
0;8;20;0.000656
0;8;50;0.010167
0;8;100;0.083217
0;1;300;3.924981
0;8;200;1.072323
1;8;50;0.020185
1;8;100;0.065729
1;8;200;0.300867
1;1;300;3.046092
1;8;300;0.873714
1;8;400;1.929947
0;8;300;3.921528
1;8;500;3.548352
1;1;400;7.208436
0;1;400;10.285786
0;8;400;10.268836
1;1;500;14.048408
0;1;500;23.373251
0;1;10;0.000084
0;1;20;0.000659
0;1;50;0.010160
0;1;100;0.083225
0;1;200;1.072215
1;1;10;0.000233
1;1;20;0.000980
1;1;50;0.011508
1;1;100;0.089108
0;8;20;0.000661
1;1;200;0.907464
0;8;50;0.010181
0;8;100;0.083331
0;8;200;1.073409
1;8;10;0.002270
1;8;20;0.008327
1;8;50;0.050583
1;8;100;0.064283
1;8;200;0.300524
0;1;300;3.924405
1;8;300;0.877797
0;1;20;0.000654
0;1;10;0.000084
0;1;50;0.010156
0;1;100;0.083291
1;8;400;1.920361
1;1;10;0.000250
0;1;200;1.073119
0;8;300;3.922838
0;8;10;0.000084
1;1;200;0.907402
1;8;500;3.576552
0;8;20;0.000654
0;8;50;0.010188
0;8;100;0.083363
0;1;300;3.921484
0;8;200;1.072160
1;8;10;0.027942
1;8;100;0.063590
0;1;400;10.256156
1;8;200;0.284157
1;8;400;1.898619
0;1;10;0.000097
0;1;50;0.010138
0;1;20;0.000654
0;8;300;3.927689
0;1;200;1.072120
1;1;50;0.011517
0;8;400;10.282466
1;8;500;3.659836
1;1;200;0.907494
0;8;100;0.083299
0;1;400;10.273642
0;1;300;3.914994
1;8;200;0.284912
1;1;300;3.046442
0;1;10;0.000085
0;1;20;0.000653
1;8;300;0.841256
0;1;50;0.010122
0;1;100;0.083310
0;1;200;1.072042
0;8;300;3.914704
1;1;20;0.000977
1;1;100;0.089055
0;8;400;10.262442
1;1;400;7.198712
0;8;10;0.000084
0;8;50;0.010180
0;8;100;0.083243
0;1;300;3.923703
0;1;500;23.115364
1;8;20;0.011747
1;8;50;0.021251
1;8;100;0.062780
0;1;10;0.000093
0;8;300;3.921566
1;1;20;0.000983
1;1;10;0.000231
0;8;500;22.861440
1;1;500;14.068069
0;1;500;22.785547
0;8;500;19.637622
0;1;400;10.229806
0;1;10;0.000085
0;1;20;0.000654
0;1;50;0.010144
0;1;100;0.083309
0;1;200;1.072042
1;1;10;0.000230
1;8;500;3.663205
0;8;20;0.000653
0;8;50;0.010102
0;8;100;0.083527
0;8;200;1.074539
1;8;20;0.005436
0;1;500;23.024360
1;8;50;0.043218
1;1;300;3.057252
0;1;300;3.921854
1;8;400;1.882384
